,Name,Year,Location,Coordinates
0,"""#1 Single""",2006,"Los Angeles, California, USA","(34.0536909, -118.242766)"
1,"""#1 Single""",2006,"New York City, New York, USA","(40.7127281, -74.0060152)"
2,"""#15SecondScare""",2015,"Coventry, West Midlands, England, UK","(52.4081812, -1.510477)"
3,"""#15SecondScare""",2015,"West Hills, California, USA","(34.2032325, -118.645476)"
4,"""#15SecondScare""",2015,"West Hills, California, USA","(34.2032325, -118.645476)"
5,"""#2WheelzNHeelz""",2017,"Nashville, Tennessee, USA","(36.1622767, -86.7742984)"
6,"""#ATown""",2014,"Spiderhouse Cafe, Austin, Texas, USA","(30.2711286, -97.7436995)"
7,"""#ATown""",2014,"Love Balls, Austin, Texas, USA","(30.2711286, -97.7436995)"
8,"""#ATown""",2014,"Jo's Cafe, San Marcos, Texas, USA","(29.8826436, -97.9405828)"
9,"""#ATown""",2014,"Town Lake, Austin, Texas, USA","(30.26866735, -97.76299000801009)"
10,"""#ATown""",2014,"Texas Rowing Center, Austin, Texas, USA","(30.272271000000003, -97.76893453598484)"
11,"""#ATown""",2014,"Mount Bonnell, Austin, Texas, USA","(30.3207674, -97.7733474)"
12,"""#ATown""",2014,"Alamo Drafthouse Ritz, Austin, Texas, USA","(30.26740345, -97.73958582383372)"
13,"""#ATown""",2014,"Red's Porch, Austin, Texas, USA","(30.2711286, -97.7436995)"
14,"""#ATown""",2014,"Barton Springs, Austin, Texas, USA","(30.2587335, -97.7509521)"
15,"""#ActorsLife""",2016,"New York City, New York, USA","(40.7127281, -74.0060152)"
16,"""#BreakfastClub""",2017,"New York City, New York, USA","(40.7127281, -74.0060152)"
17,"""#BreakfastClub""",2017,"Los Angeles, California, USA","(34.0536909, -118.242766)"
18,"""#ByMySide""",2012,"Alessandria, Piedmont, Italy","(42.6384261, 12.674297)"
19,"""#CaptchaLA""",2017,"Los Angeles, California, USA","(34.0536909, -118.242766)"
20,"""#DayOff""",2013,"New York City, New York, USA","(40.7127281, -74.0060152)"
21,"""#DearGeorgette""",2015,"New York City, New York, USA","(40.7127281, -74.0060152)"
22,"""#Elmira""",2014,"Elmira, New York, USA","(42.0897965, -76.8077338)"
23,"""#Fuga""",2016,"Barra da Tijuca, Rio de Janeiro, Rio de Janeiro, Brazil","(-22.9979553, -43.37311472822825)"
24,"""#Hashtag Travel UK""",2017,"England, UK","(52.5310214, -1.2649062)"
25,"""#Hashtag Travel""",2017,"Hudson Valley, New York, USA","(41.31611085, -74.12629189225156)"
26,"""#Hashtag Travel""",2017,"Cold Spring, New York, USA","(41.4200938, -73.9545831)"
27,"""#Hashtag Travel""",2017,"Beacon, New York, USA","(41.504879, -73.9696822)"
28,"""#Hashtag Travel""",2017,"Fishkill, New York, USA","(41.5355745, -73.898702)"
29,"""#Hashtag Travel""",2017,"Wappingers Falls, New York, USA","(41.5965635, -73.9112103)"
